,,,,"lmcut",,,,,,"lsudA",,,,,,"HHH 10K",,,,,,,"HHH 100K",,,,,,,"blind",,,,,,,"h_max",,,,,,,"hsp_f",,,,,"Gamer",
"Mystery-AIPS98","prob14.pddl",," "," "," "," "," "," ",,,2,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"Mystery-AIPS98","prob15.pddl",6,6,5,11,327,338," 1.45s"," 2s",6,1,"115.96s","80.2s",279973,9352782," "," "," "," "," "," ",," "," "," "," "," "," ",,6,1,279973,2342605,9352782," 13.04s"," 13.21s",6,4,135,2403,4448," 2.33s"," 2.62s"," ",,,,," ",
"Mystery-AIPS98","prob17.pddl",4,4,4,5,130,130," 0.41s"," 0.97s",4,1,"38.02s","1.48s",5400,175657,4,4,198,4119,6427," 0.03s"," 445.85s"," "," "," "," "," "," ",,4,1,5400,61544,175657," 0.25s"," 0.41s",4,3,5,130,130," 0.07s"," 0.35s"," ",,,,," ",
"Mystery-AIPS98","prob19.pddl",6,6,4,187,2569,4467," 5.03s"," 5.24s",6,1,"18.76s","14.32s",133871,2855919,6,4,12478,105874,294230," 0.63s"," 96.38s"," "," "," "," "," "," ",,6,1,133871,693150,2855919," 3.59s"," 3.65s",6,3,1516,16863,34698," 5.33s"," 5.44s"," ",,,,," ",
"Mystery-AIPS98","prob20.pddl",7,7,5,50,964,1435," 2.33s"," 2.53s",7,1,"132.91s","128.29s",686125,20131134,7,5,285069,2322083,8304830," 14.22s"," 59.22s",7,5,547246,4393432,15911561," 30.33s"," 578.39s",7,1,686125,4588907,20131134," 23.22s"," 23.28s",7,4,718,9624,20916," 3.66s"," 3.76s"," ",,,,," ",
"Mystery-AIPS98","prob25.pddl",4,4,4,5,23,23," 0s"," 0s",4,4,"0.01s","0s",5,23,4,4,5,23,23," 0s"," 0.1s",4,4,5,23,23," 0s"," 0.1s",4,1,31,111,173," 0s"," 0s",4,3,6,29,30," 0s"," 0s",4,2,14,1.22,1.22,4,0.42
"Mystery-AIPS98","prob26.pddl",6,6,6,7,73,73," 0.04s"," 0.08s",6,2,"0.59s","0.32s",2950,36905,6,5,2526,15088,30900," 0.04s"," 5.94s",6,6,346,3007,4207," 0.02s"," 70.78s",6,1,8455,34233,103573," 0.09s"," 0.1s",6,4,37,329,467," 0.03s"," 0.05s",6,2,3107,291.35,291.36," ",
"Mystery-AIPS98","prob27.pddl",5,5,4,13,114,140," 0.04s"," 0.07s",5,5,"0.16s","0s",6,55,5,5,6,52,55," 0s"," 4.8s",5,5,6,52,55," 0.06s"," 80.48s",5,1,2174,9873,24352," 0.02s"," 0.03s",5,2,73,542,874," 0.03s"," 0.04s",5,4,7,243.78,243.78,5,5.17
"Mystery-AIPS98","prob28.pddl",7,7,6,9,32,35," 0s"," 0.01s",7,6,"0.01s","0s",9,35,7,7,8,29,31," 0s"," 0.63s",7,7,8,29,31," 0.01s"," 6.77s",7,1,843,2040,3168," 0s"," 0s",7,4,32,106,125," 0s"," 0s",7,5,31,16.67,16.67,7,0.53
"Mystery-AIPS98","prob29.pddl",4,4,4,5,36,36," 0.01s"," 0.04s",4,4,"0.19s","0s",5,36,4,4,5,36,36," 0s"," 8.94s",4,4,5,36,36," 0.01s"," 107.1s",4,1,153,708,1285," 0s"," 0.01s",4,3,7,49,54," 0s"," 0.02s",4,2,27,536.3,536.3,4,5.69
"Mystery-AIPS98","prob30.pddl",9,9,6,764,6777,12258," 11.19s"," 11.31s",9,2,"68.21s","66.6s",421546,6998130,9,7,42112,270175,701908," 1.17s"," 28.07s",9,7,44893,297816,743040," 1.67s"," 357.07s",9,1,1977063,8373190,33140592," 38.23s"," 38.26s",9,3,26686,168073,432906," 28.21s"," 28.27s"," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"openstacks-ipc5","p01.pddl",23,23,17,1224,2212,4745," 0.35s"," 0.35s",23,21,"0.11s","0.1s",601,1797,23,23,24,101,100," 0s"," 0.05s",23,23,24,101,100," 0s"," 0.06s",23,1,4822,4937,16090," 0.01s"," 0.01s",23,4,4016,4542,14070," 0.03s"," 0.03s",23,11,2000,1.02,1.02,23,0.68
"openstacks-ipc5","p02.pddl",23,23,18,1565,2516,6372," 0.38s"," 0.38s",23,21,"0.12s","0.11s",688,2136,23,23,24,111,110," 0s"," 0.06s",23,23,24,111,110," 0s"," 0.06s",23,1,5501,5616,19137," 0.02s"," 0.02s",23,4,4594,5208,16840," 0.04s"," 0.04s",23,11,2378,1.07,1.07,23,0.71
"openstacks-ipc5","p03.pddl",23,23,17,1224,2213,4746," 0.34s"," 0.34s",23,21,"0.1s","0.09s",593,1779,23,23,24,101,100," 0s"," 0.06s",23,23,24,101,100," 0s"," 0.06s",23,1,4822,4937,16090," 0.01s"," 0.01s",23,4,4016,4542,14070," 0.03s"," 0.03s",23,11,2000,1.02,1.02,23,0.67
"openstacks-ipc5","p04.pddl",23,23,17,1224,2214,4746," 0.35s"," 0.35s",23,21,"0.11s","0.1s",601,1797,23,23,24,101,100," 0s"," 0.06s",23,23,24,101,100," 0s"," 0.06s",23,1,4822,4937,16090," 0.02s"," 0.02s",23,4,4016,4542,14070," 0.03s"," 0.03s",23,11,2000,1.02,1.02,23,0.67
"openstacks-ipc5","p05.pddl",23,23,17,1224,2213,4746," 0.34s"," 0.34s",23,21,"0.1s","0.1s",592,1777,23,23,24,101,100," 0s"," 0.06s",23,23,24,101,100," 0s"," 0.05s",23,1,4822,4937,16090," 0.01s"," 0.01s",23,4,4016,4542,14070," 0.03s"," 0.03s",23,11,2000,1.01,1.02,23,0.67
"openstacks-ipc5","p06.pddl",45,45,36,210469,288310,1199383," 234.66s"," 234.67s",45,41,"51.57s","51.52s",93267,443394,45,23,621008,680809,3039683," 3.99s"," 4.85s",45,28,279614,359894,1371831," 1.89s"," 7.86s",45,1,882874,893749,4077246," 4.91s"," 4.91s",45,4,822514,859749,3853177," 18.7s"," 18.71s",45,21,379735,217.36,217.37,45,174.29
"openstacks-ipc5","p07.pddl",46,46,35,266533,354184,1451381," 269.66s"," 269.67s",46,41,"59.41s","59.37s",107679,521404,46,24,594758,651713,2919344," 3.82s"," 4.69s",46,28,264535,341520,1288784," 1.81s"," 7.34s",46,1,836647,844973,3824064," 4.62s"," 4.62s",46,4,787163,817551,3648120," 17.8s"," 17.81s",46,21,405564,226.31,226.32,46,166.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pathways-ipc5","p01.pddl",6,6,6,7,96,98," 0s"," 0s",6,1,"0.02s","0.02s",1624,5958,6,6,7,96,98," 0s"," 1.14s",6,6,7,96,98," 0s"," 0.79s",6,1,1624,1717,5958," 0s"," 0s",6,4,36,224,360," 0s"," 0s",6,2,1405,0.28,0.28,6,0.42
"pathways-ipc5","p02.pddl",12,12,12,13,72,86," 0s"," 0s",12,11,"0.09s","0.09s",697,4404,12,11,1946,2830,11165," 0.02s"," 2.56s",12,12,13,68,85," 0.01s"," 42.11s",12,1,2984,3172,15813," 0.02s"," 0.02s",12,6,348,2105,4008," 0.01s"," 0.01s",12,3,990,0.29,0.29,12,0.75
"pathways-ipc5","p03.pddl",18,18,16,151,1320,2590," 0.1s"," 0.1s",18,8,"4.54s","4.54s",44924,465655,18,14,21671,36909,215621," 0.36s"," 6.43s",18,16,14901,25894,159268," 0.35s"," 129.23s",18,1,87189,111275,946809," 1.06s"," 1.06s",18,6,4346,30842,70458," 0.16s"," 0.16s",18,5,14772,6.98,6.99,18,7.6
"pathways-ipc5","p04.pddl",17,17,15,219,1662,3100," 0.21s"," 0.21s",17,8,"16.88s","16.87s",126956,1671951,,,,,,,,17,13,98484,173983,1287679," 2.94s"," 288.39s",17,1,456143,627385,6371529," 8.22s"," 8.22s",17,7,104068,204953,1470922," 2.61s"," 2.61s",17,6,34206,27,27,17,12.79
"pathways-ipc5","p05.pddl",,30,28,19270,408962,597739," 168.18s"," 168.19s",,10,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p06.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p07.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p08.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p09.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p10.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p11.pddl",," "," "," "," "," "," ",,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p12.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p13.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p14.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p15.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p16.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p17.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p18.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p19.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p20.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p21.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p22.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"pathways-ipc5","p23.pddl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pipesworld-notankage-ipc4","p01_net1_b6_g2.pddl",5,5,5,6,25,29," 0.01s"," 0.01s",5,5,"0.01s","0s",6,29,5,5,6,25,29," 0s"," 0.04s",5,5,6,25,29," 0s"," 0.04s",5,1,121,223,571," 0s"," 0s",5,3,13,46,67," 0s"," 0s",5,5,6,2.79,2.79,5,0.4
"pipesworld-notankage-ipc4","p02_net1_b6_g4.pddl",12,12,6,321,576,1545," 0.07s"," 0.07s",12,5,"0.07s","0.07s",620,2944,12,10,169,328,808," 0s"," 0.3s",12,12,13,41,53," 0s"," 0.17s",12,1,1808,2107,8499," 0.01s"," 0.01s",12,3,792,1167,3802," 0.02s"," 0.02s",12,5,435,3.07,3.07,12,0.43
"pipesworld-notankage-ipc4","p03_net1_b8_g3.pddl",8,8,7,66,338,531," 0.05s"," 0.06s",8,6,"0.03s","0.02s",127,887,8,8,9,59,66," 0s"," 1.15s",8,8,9,59,66," 0s"," 0.69s",8,1,3293,5996,23345," 0.02s"," 0.02s",8,4,262,876,1996," 0.02s"," 0.02s",8,6,128,3.83,3.84,8,0.66
"pipesworld-notankage-ipc4","p04_net1_b8_g5.pddl",11,11,7,399,1242,2959," 0.19s"," 0.2s",11,6,"0.25s","0.24s",1225,8874,11,8,651,1972,4717," 0s"," 1.95s",11,11,12,80,93," 0s"," 7.05s",11,1,16088,22250,112260," 0.11s"," 0.11s",11,4,2925,6361,21493," 0.13s"," 0.13s",11,6,812,8.84,8.84,11,0.8
"pipesworld-notankage-ipc4","p05_net1_b10_g4.pddl",8,8,6,44,253,415," 0.05s"," 0.08s",8,6,"0.06s","0.03s",72,712,8,8,77,425,767," 0s"," 5.63s",8,8,9,76,85," 0.01s"," 21.15s",8,1,11128,24873,111589," 0.11s"," 0.12s",8,3,1121,4327,11676," 0.14s"," 0.15s",8,5,155,16.53,16.53,8,1.38
"pipesworld-notankage-ipc4","p06_net1_b10_g6.pddl",10,10,8,112,679,1124," 0.18s"," 0.21s",10,8,"0.15s","0.11s",281,2914,10,7,1299,5344,13012," 0.02s"," 5.26s",10,10,61,407,641," 0.05s"," 39.31s",10,1,49905,90152,496880," 0.47s"," 0.48s",10,3,7102,21699,73520," 0.71s"," 0.72s",10,5,1151,23.41,23.41,10,1.69
"pipesworld-notankage-ipc4","p07_net1_b12_g5.pddl",8,8,7,39,353,499," 0.11s"," 0.16s",8,6,"0.1s","0.03s",55,661,8,6,233,1711,3161," 0s"," 19.78s",8,8,9,83,91," 0.03s"," 59.7s",8,1,46502,120226,573305," 0.56s"," 0.57s",8,3,2631,10513,32377," 0.46s"," 0.48s",8,5,185,29.88,29.88,8,2.5
"pipesworld-notankage-ipc4","p08_net1_b12_g7.pddl",10,10,6,89,694,998," 0.28s"," 0.33s",10,8,"0.18s","0.11s",171,2157,10,8,561,4044,7978," 0.02s"," 12.42s",10,8,497,3846,7204," 0.08s"," 94.69s",10,1,273585,575938,3410123," 3.38s"," 3.39s",10,3,22874,79917,291207," 3.56s"," 3.58s",10,7,1673,48.84,48.84,10,3.89
"pipesworld-notankage-ipc4","p09_net1_b14_g6.pddl",13,13,13,649,4783,8714," 2.62s"," 2.7s",13,10,"1.64s","1.53s",2006,27289,13,8,104875,373063,1482700," 1.91s"," 25.48s"," "," "," "," "," "," ",,13,1,5513309,10105732,77827324," 80.6s"," 80.62s",13,5,321861,991935,4556309," 68.96s"," 68.99s",13,9,10478,74.26,74.26,13,79.95
"pipesworld-notankage-ipc4","p10_net1_b14_g8.pddl",18,18,16,137094,656301,1924219," 447.25s"," 447.33s",18,14,"72.37s","72.26s",77706,1087919,18,9,2982520,7381564,42377389," 52.25s"," 66.89s"," "," "," "," "," "," ",," "," "," "," "," "," ",,18,5,11121245,21463012,159224662," 1579.75s"," 1579.77s",18,12,689832,1439.64,1439.64,18,158.48
"pipesworld-notankage-ipc4","p11_net2_b10_g2.pddl",20,20,9,24115,62713,102152," 42.58s"," 42.61s",20,6,"33.18s","33.07s",160840,534272,20,8,90598,174312,320876," 0.6s"," 9.2s",20,10,52159,101912,181969," 0.39s"," 43.24s",20,1,710123,956677,2368911," 3.85s"," 3.86s",20,5,107061,206351,397587," 14.49s"," 14.51s",20,5,108503,625.52,625.52,20,72.53
"pipesworld-notankage-ipc4","p12_net2_b10_g4.pddl",24,24,10,101472,233180,413544," 189.07s"," 189.1s",24,7,"145.72s","145.6s",588687,1924950,24,9,594661,892012,1987570," 3.92s"," 12.41s",24,11,416184,671186,1412187," 3.1s"," 109.43s",24,1,2467804,3180995,8177520," 13.82s"," 13.83s",24,6,464982,750583,1621259," 56.8s"," 56.82s",24,7,433296,1117.57,1117.57," ",
"pipesworld-notankage-ipc4","p13_net2_b12_g3.pddl",16,16,9,2359,7742,11530," 7.15s"," 7.19s",16,8,"9.39s","9.22s",16178,56487,16,8,12835,27639,48405," 0.1s"," 34.28s"," "," "," "," "," "," ",,16,1,481045,840179,1941426," 3.13s"," 3.14s",16,4,33417,74692,136399," 6.36s"," 6.38s",16,6,24224,1019.65,1019.65," ",
"pipesworld-notankage-ipc4","p14_net2_b12_g5.pddl",30," "," "," "," "," "," ",,,8,,,,,30,11,13255718,21870421,48927407," 105.83s"," 119.54s"," "," "," "," "," "," ",," "," "," "," "," "," ",,30,7,14956505,24628077,55607867," 2610.23s"," 2610.25s"," ",,,,," ",
"pipesworld-notankage-ipc4","p15_net2_b14_g4.pddl",26,26,10,107625,248199,445030," 292.37s"," 292.44s",26,8,"222.08s","221.89s",636006,2177971,26,10,648132,1075951,2315623," 5.93s"," 65.43s"," "," "," "," "," "," ",,26,1,4921698,6850988,16958805," 34.88s"," 34.9s",26,6,555619,1014139,2058532," 105.46s"," 105.49s",26,7,551524,2245.73,2245.73," ",
"pipesworld-notankage-ipc4","p16_net2_b14_g6.pddl",," "," "," "," "," "," ",,,12,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p17_net2_b16_g5.pddl",22," "," "," "," "," "," ",,,8,,,,,22,10,3200672,6864994,14110413," 35.54s"," 90.07s"," "," "," "," "," "," ",," "," "," "," "," "," ",,22,5,6571572,14415456,29128962," 2122.57s"," 2122.61s"," ",,,,," ",
"pipesworld-notankage-ipc4","p18_net2_b16_g7.pddl",," "," "," "," "," "," ",,,9,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p19_net2_b18_g6.pddl",24," "," "," "," "," "," ",,,7,,,,,24,12,8767431,20600069,40864146," 105.68s"," 150.88s"," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p20_net2_b18_g8.pddl",," "," "," "," "," "," ",,,9,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p21_net3_b12_g2.pddl",14,14,7,1596,5515,10078," 5.11s"," 5.18s",14,5,"8.77s","8.51s",14406,82646,14,9,3992,11058,23266," 0.05s"," 18.13s",14,11,948,2871,5493," 0.05s"," 159.63s",14,1,157782,278160,949119," 1.29s"," 1.31s",14,5,8966,25208,56800," 2.39s"," 2.42s",14,6,8851,1823.85,1823.85," ",
"pipesworld-notankage-ipc4","p22_net3_b12_g4.pddl",30," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",,30,9,8843194,16344315,52849739," 1971.57s"," 1971.6s"," ",,,,," ",
"pipesworld-notankage-ipc4","p23_net3_b14_g3.pddl",18,18,11,19676,85775,176435," 153.65s"," 153.77s",18,9,"286.74s","286.22s",460902,3321451,18,11,296506,845799,2038880," 4.24s"," 49.11s",18,11,104750,343106,706828," 1.55s"," 256.13s"," "," "," "," "," "," ",,18,6,481859,1391628,3740146," 228.95s"," 229s"," ",,,,," ",
"pipesworld-notankage-ipc4","p24_net3_b14_g5.pddl",24," "," "," "," "," "," ",,,11,,,,,24,12,7315150,16476250,47454035," 99.8s"," 142.82s"," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p25_net3_b16_g5.pddl",," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p26_net3_b16_g7.pddl",," "," "," "," "," "," ",,,13,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p27_net3_b18_g6.pddl",," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p28_net3_b18_g7.pddl",12," "," "," "," "," "," ",,12,14,"268.4s","257.86s",76359,901349," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p29_net3_b20_g6.pddl",," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p30_net3_b20_g8.pddl",," "," "," "," "," "," ",,,16,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p31_net4_b14_g3.pddl",," "," "," "," "," "," ",,,8,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p32_net4_b14_g5.pddl",," "," "," "," "," "," ",,,9,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p33_net4_b16_g5.pddl",," "," "," "," "," "," ",,,8,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p34_net4_b16_g6.pddl",," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p35_net4_b18_g4.pddl",," "," "," "," "," "," ",,,8,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p36_net4_b18_g6.pddl",," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p37_net4_b20_g5.pddl",," "," "," "," "," "," ",,,8,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p38_net4_b20_g7.pddl",," "," "," "," "," "," ",,,8,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p39_net4_b22_g7.pddl",," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p40_net4_b22_g8.pddl",," "," "," "," "," "," ",,,11,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p41_net5_b22_g2.pddl",12,12,6,12404,72147,158159,"285.89s","286.44s",,6,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",,12,4,114257,522207,1379238," 249.93s"," 250.18s"," ",,,,," ",
"pipesworld-notankage-ipc4","p42_net5_b22_g4.pddl",," "," "," "," "," "," ",,,9,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p43_net5_b24_g3.pddl",," "," "," "," "," "," ",,,6,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p44_net5_b24_g5.pddl",," "," "," "," "," "," ",,,8,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p45_net5_b26_g4.pddl",," "," "," "," "," "," ",,,9,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p46_net5_b26_g6.pddl",," "," "," "," "," "," ",,,12,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p47_net5_b28_g5.pddl",," "," "," "," "," "," ",,,12,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p48_net5_b28_g7.pddl",," "," "," "," "," "," ",,,15,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p49_net5_b30_g6.pddl",," "," "," "," "," "," ",,,10,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"pipesworld-notankage-ipc4","p50_net5_b30_g8.pddl",," "," "," "," "," "," ",,,13,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pipesworld-tankage-ipc4","p01_net1_b6_g2_t50.pddl",5,5,5,6,25,29," 0s"," 0.01s",5,5,"0.02s","0s",7,35,5,5,6,25,29," 0s"," 3.54s",5,5,6,25,29," 0s"," 0.13s",5,1,128,235,610," 0s"," 0s",5,3,13,46,67," 0.01s"," 0.01s",5,5,6,3.87,3.88,5,0.65
"pipesworld-tankage-ipc4","p02_net1_b6_g4_t50.pddl",12,12,6,330,556,1555," 0.07s"," 0.08s",12,6,"0.1s","0.08s",567,2581,12,10,110,255,515," 0s"," 3.04s",12,12,13,41,53," 0s"," 0.2s",12,1,1012,1040,4321," 0.01s"," 0.01s",12,3,659,854,2990," 0.02s"," 0.02s",12,7,179,6.04,6.04,12,0.78
"pipesworld-tankage-ipc4","p03_net1_b8_g3_t80.pddl",8,8,6,725,5573,11049," 2.04s"," 2.1s",8,6,"0.5s","0.31s",422,5712,8,7,244,2469,4012," 0.01s"," 22.64s",8,8,9,154,163," 0.01s"," 36.89s",8,1,52983,107163,658450," 0.75s"," 0.77s",8,4,1802,9205,25865," 1.29s"," 1.33s",8,6,818,24.47,24.47,8,7.9
"pipesworld-tankage-ipc4","p04_net1_b8_g5_t80.pddl",11,11,6,5391,22070,71284," 9.91s"," 9.97s",11,6,"10.93s","10.73s",13031,172088,11,9,3892,20442,55488," 0.1s"," 16.68s",11,11,12,199,217," 0.02s"," 155.03s",11,1,221429,323323,2645243," 3.04s"," 3.06s",11,4,41540,99338,528456," 14.45s"," 14.49s",11,6,8116,64.68,64.68,11,14.69
